smile,activity,Difference_set
C1=CC=C(C=C1)C(=O)/C=C/C2=CC(=CC=C2)Cl,Inactive,0
C=CCCCCCCCCC(=O)O,Inactive,0
C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N,Inactive,0
C1=CC2=C(C(=C1)O)N=CC=C2,Inactive,0
CCN(CC)CC(C1=CC2=C(C=CC3=CC=CC=C32)C=C1)O.Cl,Inactive,0
C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=C(C=C3)C4=CC=CC=C4)(C5=CC=C(C=C5)C6=CC=CC=C6)O,Inactive,0
C1=COC(=C1)/C=C/C=O,Inactive,0
CN1C2=C(C(=O)N(C1=O)C)NC=N2,Inactive,0
CC1=CC=C(C=C1)NCCO,Inactive,0
CC1=CC(=C(C=C1C2(C3=CC=CC=C3C(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,Inactive,0
C(C(CC(=O)O)C(=O)O)C(=O)O,Inactive,0
CC(C)(C)C1=CC(=C(C=C1)O)Br,Inactive,0
C1C/C(=C\C2=CC=CC=C2)/C(=O)/C(=C/C3=CC=CC=C3)/C1,Inactive,0
CCCCCCC(C)OC(=O)C/C(=C\C(=O)OC(C)CCCCCC)/C(=O)OC(C)CCCCCC,Inactive,0
C1=CC=C2C=[N+](C=CC2=C1)CC3=CC=NC4=CC=CC=C34.[I-],Inactive,0
C1C(C(C(C(O1)OCC2=CC=CC=C2)O)O)O,Inactive,0
CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,Inactive,0
C(C(=O)O)(Cl)Cl,Inactive,0
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)Cl,Inactive,0
C1=CC=C(C=C1)C(C(C(=O)C2=CC=CC=C2)Br)Br,Inactive,0
C(=C/C(=O)O)\C(=O)O,Inactive,0
C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N.[Cl-],Active,0
CC1=NC2=CC=CC=C2C(=O)N1,Inactive,0
C(=O)(C(=O)N)N,Inactive,0
COC1=C(C2=C(C(=C1)[N+](=O)[O-])N=CC=C2)O,Inactive,0
CC1=CC(=C(C=C1O)C2=C(C=C(C(=C2)O)C)O)O,Inactive,0
C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,Inactive,0
COC1=C(C=CC(=C1)/C=C/C(=O)O)O,Inactive,0
CC1=C(C(=O)C=CO1)O,Inactive,0
C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O,Inactive,0
C1=CC(=CC=C1C(=O)N)[N+](=O)[O-],Inactive,0
CC(C)C1(CCC2C3(CCCC(C3CC(C2(C1Cl)Cl)Cl)(C)C(=O)O)C)Cl,Inactive,0
CC1CCCC(C1)(CC(=O)O)CC(=O)O,Inactive,0
C1=CC=C2C=C(C=CC2=C1)CCCC(=O)O,Inactive,0
CNC=O,Inactive,0
C[C@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,Active,0
CN(C)C1=NC=NC2=C1N=CN2C3C(C(C(O3)CO)NC(=O)[C@H](CC4=CC=C(C=C4)OC)N)O.Cl,Active,0
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,Inactive,0
CCC1=C(C(=NC(=N1)N)N)C2=CC(=C(C=C2)Cl)Cl,Inactive,0
CN1C=C(C=C1C(=O)NC2=CN(C(=C2)C(=O)NCCC(=N)N)C)NC(=O)CN=C(N)N.Cl,Inactive,0
C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],Inactive,0
C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,Inactive,0
CC1(N=C(N=C(N1C2=CC=C(C=C2)Cl)N)N)C.Cl,Inactive,0
C1=CC=C(C=C1)C2N=C(NC(=N2)NC3=CC=CC=C3)N,Inactive,0
CC1(N=C(N=C(N1C2=CC(=C(C=C2)Cl)Cl)N)N)C.Cl,Inactive,0
CC1(N=C(N=C(N1C2=CC(=CC=C2)Cl)N)N)C.Cl,Inactive,0
CCCCCCC1N=C(N=C(N1C2=CC=C(C=C2)Cl)N)N.Cl,Inactive,0
CC1(N=C(N=C(N1C2=CC(=CC=C2)Br)N)N)C.Cl,Inactive,0
CCCCCCC1N=C(N=C(N1C2=CC(=CC=C2)Cl)N)N.Cl,Active,0
C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,Inactive,0
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-],Active,0
CC[N+](C)(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C.[Cl-].[Br-],Inactive,0
CN(C)N=NC1=CC=CC=C1,Inactive,0
C1CN1C2=CC(=C(C=C2O)N3CC3)O,Inactive,0
C1=CC=C2C(=C1)C=CC(=N2)/C=C/C3=CC=C(C=C3)Cl,Inactive,0
C[N+]1(CCCC1C2CCCN(C2)CC3=CC(=C(C=C3)Cl)Cl)CC4=CC(=C(C=C4)Cl)Cl,Inactive,0
C[N+]1(CCCC1C2=CN=CC=C2)CC[N+]3(CCCC3C4=CN=CC=C4)C,Inactive,0
C/C(=C/C1=CC(=C(C=C1)O)OC)/[N+](=O)[O-],Inactive,0
CN(C)C1=CC=C(C=C1)C(C2=CC=C(C=C2)N(C)C)C3=CC=C(C=C3)[N+](=O)[O-],Inactive,0
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OC(=O)CCC4CCCC4)CCC5=C3C=CC(=C5)O,Inactive,0
CC1C2C=CC3(CO3)C(O2)(OC1C(C)/C=C(\C)/C=C\C(=C/4\C(=O)C(N(C4=O)C5CCC(C(O5)C)O)C(C)C(=O)NC)\O)C,Inactive,0
CCCCCC(C1C(CC(CC(CC(CC(CC(CC(/C(=C\C=C/C=C/C=C/C=C/C(C(OC1=O)C)O)/C)O)O)O)O)O)O)O)O,Inactive,0
CC(CCCN(CCCl)CCCl)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl,Inactive,0
C1=CC2=C(C(=C(C=C2Cl)I)O)N=C1,Inactive,0
CCCCCC(CCCCC)(CCCCCCCCC1=C(C2=CC=CC=C2C(=O)C1=O)O)O,Inactive,0
COC1=CC(=C2C(=C1)C=CC=N2)N=C(N)N=C(N)N.Cl,Inactive,0
CCCCCCN(CCCCCC)CCCNC1=NC=CC2=CC=CC=C21.Cl,Inactive,0
C1CCC(CC1)NC2CCC(CC2)NC3=C4C=CC(=CC4=NC=C3)Cl,Inactive,0
CCN(CC)C1=CC=C(C=C1)NC(C2=CC=CC=C2)C(=O)C3=CC=CC=C3.Cl,Inactive,0
C1=CC(=CC(=C1)[N+](=O)[O-])/C=C/C(=O)/C=C\C2=CC(=CC=C2)[N+](=O)[O-],Inactive,0
CON.Cl,Inactive,0
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Br,Inactive,0
C1=CC2=C(C=CC(=C2N=C1)O)N=O,Inactive,0
C1=CC(=C(C=C1Cl)C(C2=C(C=CC(=C2)Cl)O)C(Cl)(Cl)Cl)O,Inactive,0
C1=CC=[N+](C=C1)C2C3=CC=CC=C3C(C4=CC=CC=C24)[N+]5=CC=CC=C5.[Br-],Inactive,0
CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C,Inactive,0
C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3,Inactive,0
C1=CC=C(C(=C1)C(=O)O)O.C1=CC2=C(C(=C1)O)N=CC=C2,Inactive,0
C/C(=C\C1=CC(=C(C=C1)Cl)Cl)/[N+](=O)[O-],Inactive,0
C1=CC(=C(C=C1Cl)O)CC2=C(C=C(C=C2)Cl)O,Inactive,0
C1=CNC(=O)NC1=O,Inactive,0
C1=C(OC(=CC1=O)C(=O)O)C(=O)O,Inactive,0
CN(C)C1=CC=C(C=C1)C(=N)C2=CC=C(C=C2)N(C)C.Cl,Inactive,0
CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,Inactive,0
CC1=CC(=O)C2=CC=CC=C2C1=O,Inactive,0
C1=CC(=CC=C1/C=C/C2=CC=C(C=C2)O)O,Inactive,0
C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)NC3=CC=CC(=C3)C(=O)O,Inactive,0
CN(C)C1=CC=C(C=C1)/C=C/C2=CC=NC3=CC=CC=C23,Inactive,0
C[N+]1=C(C=CC2=CC=CC=C21)/C=C/C3=CC=C(C=C3)N(C)C.[I-],Inactive,0
C[N+]1=CC=C(C2=CC=CC=C21)/C=C/C3=CC=C(C=C3)N(C)C.[I-],Inactive,0
CCN(CC)C1=CC=C(C=C1)/C=C/C2=CC=NC3=CC=CC=C23,Inactive,0
C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.Cl,Inactive,0
C1=CC(=CC=C1C(C2=CC=C(C=C2)[N+](=O)[O-])Br)[N+](=O)[O-],Inactive,0
CC1=CC2=C(C3=C1C=CC=N3)N=CC=C2,Inactive,0
CC1=NC2=C(C=C1)C=CC3=C2N=C(C=C3)C,Inactive,0
CC1=C2C=CC3=C(C=CN=C3C2=NC=C1)C,Active,0
C1=CC=C(C=C1)NC2=C(C(=O)C3=CC=CC=C3C2=O)Cl,Inactive,0
CCCCCC1=CC=[N+](C=C1)CC(=O)C2=CC=C(C=C2)[N+](=O)[O-].[Br-],Inactive,0
CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O,Inactive,0
CCCCCCCCC1=CC=[N+](C=C1)CC(=O)C2=CC=C(C=C2)Br.[Br-],Inactive,0
CCCCCCCCCC1=CC=[N+](C=C1)CC(=O)C2=CC=C(C=C2)[N+](=O)[O-].[Br-],Inactive,0
CC1C(C(CC(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)C=O)OC)OC7C(C(C(C(O7)CO)O)O)O,Active,0
CC1C(C(CC(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3(C2)O)O)C6=CC(=O)OC6)C)C=O)OC)OC7C(C(C(C(O7)CO)O)O)O,Inactive,0
CN1CCCC(C1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl,Inactive,0
CCN(CC)CC(C1=CC(=NC2=C1C=CC(=C2)Cl)C3=CC=C(C=C3)Cl)O.Cl,Inactive,0
CC1(C2=CC=CC=C2[N+](=C1/C=C/C3=CC=C(C=C3)N(C)CCCl)C)C.[Cl-],Inactive,0
CC1(C2=CC=CC=C2[N+](=C1/C=C/C3=C(N(C4=CC=CC=C43)C)C5=CC=CC=C5)C)C,Active,0
C1=CC(=C(C=C1C(=O)C2=CC(=C(C=C2)N)Br)Br)N,Inactive,0
C1=CC(=C(C=C1Br)/C=C/C(=O)/C=C\C2=C(C=CC(=C2)Br)O)O,Inactive,0
C1=CC=C(C=C1)C2=NC(=C(N2)C(=O)O)C(=O)O,Inactive,0
C1=CC(=C(C=C1Br)C(=O)C2=C(C=CC(=C2)Br)O)O,Inactive,0
CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)CO,Inactive,0
C1=CC=C2C(=C1)C3=C(N2N=O)C=CC(=C3)[N+](=O)[O-],Inactive,0
C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC(=C3)CO)OCC(C(C(C=O)O)O)O,Inactive,0
C1=CC=C2C(=C1)C(=C(N2)O)N=NC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-],Inactive,0
CC(C)C1=CCC2C(=C1)CCC3C2(CCCC3(C)C(=O)O)C.CC(C)(CO)N,Inactive,0
C1=CC(=C(C2=C1C(=O)C3=C(C=CC(=C3C2=O)O)O)O)O,Inactive,0
C[C@H]1[C@@H]2CC[C@]3(C=CC(=O)C(=C3[C@H]2OC1=O)C)C,Inactive,0
CCCNC1=NC=NC2=C1C=NN2,Inactive,0
CCCNC1=C2C(=NC=N1)N(C=N2)C,Inactive,0
COC1=CC=C(C=C1)O,Inactive,0
CC1=C(C=CC(=C1)O)O,Inactive,0
CC(C)(C)C1=C(C=CC(=C1)O)O,Inactive,0
CC1=CC(=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N)C=CC1=N.CC(=O)O,Inactive,0
CC1=C(C=CC(=C1)C(=C2C=CC(=NC3=CC=CC=C3)C=C2)C4=CC=C(C=C4)NC5=CC=CC=C5)N.Cl,Active,0
C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,Inactive,0
C1=CC=C2C(=C1)C=CC(=C2O)N=O,Inactive,0
C1=CC=C(C=C1)N2C3N(C2=NN3C4=CC=CC=C4)C5=CC=CC=C5,Inactive,0
C1=CC=C2C(=C1)C(=CC=C2O)N=NC3=CC=C(C=C3)[N+](=O)[O-],Inactive,0
C1=CC=C(C=C1)C2=NN([N+](=N2)C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],Inactive,0
C=CC[N+]12CN3CN(C1)CN(C3)C2.[I-],Inactive,0
CC1=CC(=CC(=C1N=NC2=CC=C(C=C2)[N+](=O)[O-])O)O,Inactive,0
